deployment name,protocol name,protocol type,network,status,slug,query-id
aave-v2-avalanche,aave-v2,lending,avalanche,prod,aave-v2-avalanche,9nh6Ums63wFcoZpmegyPcAFtY3CAzQc3S6cuERALYMqa
aave-v2-ethereum,aave-v2,lending,ethereum,prod,aave-v2-ethereum,C2zniPn45RnLDGzVeGZCx2Sw3GXrbc9gL4ZfL8B8Em2j
aave-v2-polygon,aave-v2,lending,polygon,prod,aave-v2-polygon,GrZQJ7sWdTqiNUD8Vh2THaeBM4wGwiF8mFv9FBfyzwxm
aave-v3-arbitrum,aave-v3,lending,arbitrum,prod,aave-v3-arbitrum,4xyasjQeREe7PxnF6wVdobZvCw5mhoHZq3T7guRpuNPf
aave-v3-avalanche,aave-v3,lending,avalanche,prod,aave-v3-avalanche,72Cez54APnySAn6h8MswzYkwaL9KjvuuKnKArnPJ8yxb
aave-v3-base,aave-v3,lending,base,prod,aave-v3-base,D7mapexM5ZsQckLJai2FawTKXJ7CqYGKM8PErnS3cJi9
aave-v3-bsc,aave-v3,lending,bsc,prod,aave-v3-bsc,43jbGkvSw55sMvYyF6MZieksmJbajMu3hNGF8PN9ucuP
aave-v3-ethereum,aave-v3,lending,ethereum,prod,aave-v3-ethereum,JCNWRypm7FYwV8fx5HhzZPSFaMxgkPuw4TnR3Gpi81zk
aave-v3-fantom,aave-v3,lending,fantom,prod,aave-v3-fantom,ZcLcVKJNQboeqACXhGuL3WFLBZzf5uUWheNsaFvLph6
aave-v3-gnosis,aave-v3,lending,gnosis,prod,aave-v3-gnosis,GiNMLDxT1Bdn2dQZxjQLmW24uwpc3geKUBW8RP6oEdg
aave-v3-harmony,aave-v3,lending,harmony,prod,aave-v3-harmony,G1BNHqmteZiUwSEacfXG2nzMm13KLNo5xoxv62ErAyQv
aave-v3-optimism,aave-v3,lending,optimism,prod,aave-v3-optimism,3RWFxWNstn4nP3dXiDfKi9GgBoHx7xzc7APkXs1MLEgi
aave-v3-polygon,aave-v3,lending,polygon,prod,aave-v3-polygon,6yuf1C49aWEscgk5n9D1DekeG1BCk5Z9imJYJT3sVmAT
aave-v3-scroll,aave-v3,lending,scroll,prod,aave-v3-scroll,DkvXMxq1skgSe1ehLHWpiUthHU1znnMDK2SUmj9avhEX
abracadabra-arbitrum,abracadabra,lending,arbitrum,prod,abracadabra-money-arbitrum,3m97d2dJ2pXwPFuiHrm8T37V9TCoAHBpMqRwdguyUZXF
abracadabra-avalanche,abracadabra,lending,avalanche,prod,abracadabra-money-avalanche,3Gkei7B24o9C2bCoAbQpApZqMStPta7oCAnNhmNv5dab
abracadabra-bsc,abracadabra,lending,bsc,prod,abracadabra-money-bsc,6bFCfHn5Uuv5fH7PxKL12dzWh3zz7fkQ46EnMa7nZUj2
abracadabra-ethereum,abracadabra,lending,ethereum,prod,abracadabra-money-ethereum,GLAu42kvVs7ixfXcmkAsRiS7Xt1NCpgkKsnz3qiriuvV
abracadabra-fantom,abracadabra,lending,fantom,prod,abracadabra-money-fantom,2nxGrxxPShrm49dEWusJjB5dpmonN16JFzLwDrS1pCyq
alpaca-finance-lending-bsc,alpaca-finance-lending,lending,bsc,prod,alpaca-finance-lending-bsc,ED3ayhcLA7h7DCGwbysgcxtfMEcoeYCdMEsdZJeoaUFS
alpaca-finance-lending-fantom,alpaca-finance-lending,lending,fantom,prod,alpaca-finance-lending-fantom,6EfFr7xDpD7LLi1X8Cj9b6ytjFjX3GZYrMrCKomEuCmx
banker-joe-avalanche,banker-joe,lending,avalanche,prod,banker-joe-avalanche,9NjYuG2BFU1BPacNdKymd9eNdfVCaJM6LhsgD8zSQgDK
bastion-protocol-aurora,bastion-protocol,lending,aurora,prod,bastion-protocol-aurora,BD4rW7Ga5YQ3x68tALbi8vsXNodd6LrvFeaVocdJt3bD
benqi-avalanche,benqi,lending,avalanche,prod,benqi-avalanche,8ZjJGsaKea7WwLJPJNdHXPGsvXDe3iq2231aRjgBPisi
burrow-near,burrow,lending,near-mainnet,prod,burrow-near,5W5fhZAq6QABBijKo7wqYps7TLzqAqS2mU1C1rhktvtg
compound-v2-ethereum,compound-v2,lending,ethereum,prod,compound-v2-ethereum,4TbqVA8p2DoBd5qDbPMwmDZv3CsJjWtxo8nVSqF2tA9a
compound-v3-arbitrum,compound-v3,lending,arbitrum,prod,compound-v3-arbitrum,5MjRndNWGhqvNX7chUYLQDnvEgc8DaH8eisEkcJt71SR
compound-v3-base,compound-v3,lending,base,prod,compound-v3-base,AwoxEZbiWLvv6e3QdvdMZw4WDURdGbvPfHmZRc8Dpfz9
compound-v3-ethereum,compound-v3,lending,ethereum,prod,compound-v3-ethereum,AwoxEZbiWLvv6e3QdvdMZw4WDURdGbvPfHmZRc8Dpfz9
compound-v3-polygon,compound-v3,lending,polygon,prod,compound-v3-polygon,5wfoWBpfYv59b99wDxJmyFiKBu9brXESeqJAzw8WP5Cz
cream-finance-arbitrum,cream-finance,lending,arbitrum,prod,cream-finance-arbitrum,GzHkVNf7BBqUjV8Sy6U6xUaWdGheFMdin1cB6sNvfdzs
cream-finance-bsc,cream-finance,lending,bsc,prod,cream-finance-bsc,Dd2ak11qC4mS2spUXzJm5v9EtVNJqmBC9rLzbckTwfN1
cream-finance-ethereum,cream-finance,lending,ethereum,prod,cream-finance-ethereum,43NeT7UTACLUkohKBaG7auvkhsj4Kwux9kNTJr6sFdNe
cream-finance-polygon,cream-finance,lending,polygon,prod,cream-finance-polygon,CBeERkhQNwPwU3jSWdKHeAtPQh4TFucUyUMcqAJk19ij
dforce-arbitrum,dforce,lending,arbitrum,prod,dforce-arbitrum,Dpk4Gen22wxQ3Laojf7DR2me8wGzjaHwjsKAsLf2rCFV
dforce-bsc,dforce,lending,bsc,prod,dforce-bsc,DKu1HqTTi26uLZKAmvDbqyAvcnFAjXEuRJmF35RLpyFg
dforce-ethereum,dforce,lending,ethereum,prod,dforce-ethereum,6PaB6tKFqrL6YoAELEhFGU6Gc39cEynLbo6ETZMF3sCy
dforce-optimism,dforce,lending,optimism,prod,dforce-optimism,6AmkakXwadWiZ2jN7oJcFreWmKG1nZrT5P8om52upYPd
dforce-polygon,dforce,lending,polygon,prod,dforce-polygon,9CFGPWpntYisBp7NpHMrgYzFrBmtVxSw58haGyZ3ewoZ
euler-finance-ethereum,euler-finance,lending,ethereum,prod,euler-finance-ethereum,95nyAWFFaiz6gykko3HtBCyhRuP5vZzuKYsZiLxHxLhr
geist-finance-fantom,geist-finance,lending,fantom,prod,geist-finance-fantom,45LX32kZPBRNiXaBKDrzbCnidoKv3cMEc8cXt3kvPifz
goldfinch-ethereum,goldfinch,lending,ethereum,prod,goldfinch-ethereum,GRwpFCPYyQPdz84sCnKemzrNvgFPuKkFLcRLR6jsRxHr
inverse-finance-ethereum,inverse-finance,lending,ethereum,prod,inverse-finance-ethereum,EXuutY6qkZbXjYeJZdiDBf2imJswTNdfm8YZCqhAthfW
iron-bank-avalanche,iron-bank,lending,avalanche,prod,iron-bank-avalanche,9YiJM9oHy25estSJjB1Z71Hdz5C814R3vDoS2ezpN27C
iron-bank-ethereum,iron-bank,lending,ethereum,prod,iron-bank-ethereum,5YoxED3bbWV9byvn3x3S3ebZ3idrQmQmsJhL5LMyY26v
iron-bank-fantom,iron-bank,lending,fantom,prod,iron-bank-fantom,4dWx6UZNcLEzgtipy45VkgtptYRqoHdZeCGNKxHAxKWo
iron-bank-optimism,iron-bank,lending,optimism,prod,iron-bank-optimism,4WKePP5QfwrW6Hfd8YKWHuivivmdxPubuP45BryeGo4g
kinza-finance-bsc,kinza-finance,lending,bsc,prod,kinza-finance-bsc,435cubRAqNsFYKzyQHRRiHvR7oJjh828r5Aqe4cZC586
liquity-ethereum,liquity,lending,ethereum,prod,liquity-ethereum,2D2dFCLjUt3MfFgTKW8cBxiRQ3Adss7KUtYh2rTcFVY
makerdao-ethereum,makerdao,lending,ethereum,prod,makerdao-ethereum,8sE6rTNkPhzZXZC6c8UQy2ghFTu5PPdGauwUBm4t7HZ1
maple-finance-v1-ethereum,maple-finance-v1,lending,ethereum,prod,maple-finance-ethereum,J9dtvE11PWNZH74frWyx9QZonyC1Db2UWDMUegmT3zkG
maple-finance-v2-ethereum,maple-finance-v2,lending,ethereum,prod,maple-finance-v2-ethereum,94swSaaFChsQoZzb9Vc7Lo6FWFV6YZUMNSdFVTMAeRgj
moonwell-base,moonwell,lending,base,prod,moonwell-base,33ex1ExmYQtwGVwri1AP3oMFPGSce6YbocBP7fWbsBrg
moonwell-moonbeam,moonwell,lending,moonbeam,prod,moonwell-moonbeam,DQhrdUHwspQf3hSjDtyfS6uqq9YiKoLF3Ut3U9os2HK
moonwell-moonriver,moonwell,lending,moonriver,prod,moonwell-moonriver,8ayELti1UNCNCWuvwSwapjh4mvvCejeXsk4PmsWBmQ82
morpho-aave-v2-ethereum,morpho-aave-v2,lending,ethereum,prod,morpho-aave-v2-ethereum,DsznTYxGdsqxWB6a474rSksvB7qWSth5Ff1PcxW28vZy
morpho-aave-v3-ethereum,morpho-aave-v3,lending,ethereum,prod,morpho-aave-v3-ethereum,FKe6ANnWmGPE6hajGLoTgPrVF2jYPHiRu2Jwcg9ZmG9A
morpho-compound-ethereum,morpho-compound,lending,ethereum,prod,morpho-compound-ethereum,9dTy23tkahyiap1THgwnJuMwxNHVnQM57jFQQiUzjcY6
notional-finance-ethereum,notional-finance,lending,ethereum,dev,notional-finance-ethereum,2t4T7bts8ZQCpGcVq9VSzDyPVCQc5Y7TFwZKfmXKeSVx
pac-finance-blast,pac-finance,lending,blast-mainnet,prod,pac-finance-blast,ERsfyKMQTpTEN6LtyWvFwhDENLf6aAAggbtrNEnFKLpx
qidao-arbitrum,qidao,lending,arbitrum,prod,qidao-arbitrum,Duw2tSACo9uRGFctAGsCc9pF7ZGMyqpjkAHPwm49dZe6
qidao-avalanche,qidao,lending,avalanche,prod,qidao-avalanche,98GG74FxxsG25Ltd8qvJ9BRfFmQWyN1AkS92MZBG1BsR
qidao-base,qidao,lending,base,prod,qidao-base,9NHJ9k31qaGCYXppm9isJTiEoiB6v3tJDnR6SrQrxcjw
qidao-bsc,qidao,lending,bsc,prod,qidao-bsc,4DcztqYL7UG5bjdisWWvnj3m4NtK5J3bs89scihAkicr
qidao-ethereum,qidao,lending,ethereum,prod,qidao-ethereum,BmQSQaXsivq866kUobQSbyxycjk3D7CiaczKgu3P9ifB
qidao-fantom,qidao,lending,fantom,prod,qidao-fantom,hf51jYbZ9uESiuBabfxf6fRdc22xtmNWX9c3SRrct2q
qidao-gnosis,qidao,lending,gnosis,prod,qidao-gnosis,7vJEsy8pJmRQZQh5kTXNz68SRHXBS859hMq3o5uWF1Ac
qidao-harmony,qidao,lending,harmony,prod,qidao-harmony,DCEQvXCiqtpMybQLL4YAgdCzqHzRH6wFFnCDnnLBBuvf
qidao-moonriver,qidao,lending,moonriver,prod,qidao-moonriver,HzDP5zXKyjnEJP9TnFirk3qA24SUp4AfzKUBSRcBekgz
qidao-optimism,qidao,lending,optimism,prod,qidao-optimism,4JbWxzxBNCpAaVz72Gt2UthgiwcWZQLKDBhmSE7wKY2K
qidao-polygon,qidao,lending,polygon,prod,qidao-polygon,5UxEcMvYW4vVYP81tkPQMAvJv1e4m1xU8BJkDXBnpc6x
radiant-capital-arbitrum,radiant-capital,lending,arbitrum,prod,radiant-capital-arbitrum,5HTkKJNSm72tUGakwj8yroDGHxc6fBhmLaA5oJepZGL3
radiant-capital-v2-arbitrum,radiant-capital-v2,lending,arbitrum,dev,radiant-capital-v2-arbitrum,2rQAKGJkvkiAXsCjx1n4E3DSgk2b7nCZMtt2BrV5TBgt
radiant-capital-v2-bsc,radiant-capital-v2,lending,bsc,dev,radiant-capital-v2-bsc,cM9BYtdT8aVBX8JEbi9SQjV2Ft8onEh6qwZHxCUyAAh
rari-fuse-arbitrum,rari-fuse,lending,arbitrum,prod,rari-fuse-arbitrum,HnV3fhwsWfmQGdD2AeGzqvRVTDBqnMH74jCsDVq1DXYP
rari-fuse-ethereum,rari-fuse,lending,ethereum,prod,rari-fuse-ethereum,kecp6SPMvbB4GTqg9r5PXvztYriexj5F3ZCaATpjmb2
scream-fantom,scream,lending,fantom,prod,scream-fantom,Cj3pDoqHgLBntkaXAKMxtJTZr3StxYvVEedTXyJGJoK4
seamless-protocol-base,seamless-protocol,lending,base,prod,seamless-protocol-base,2u4mWUV4xS19ef1MbnxZHWLLMwdPxtVifH46JbonXwXP
seismic-blast,seismic,lending,blast-mainnet,prod,seismic-blast,d7gMk1zkEyCQuNVeirBYA6keCZv8hTLheCZ4DBCjRfz
sonne-finance-optimism,sonne-finance,lending,optimism,prod,sonne-finance-optimism,DQqb7FiQ1joLhESkAwvAYiuXhwfz4zf6qHmbt7stnec8
spark-lend-ethereum,spark-lend,lending,ethereum,prod,spark-lend-ethereum,GbKdmBe4ycCYCQLQSjqGg6UHYoYfbyJyq5WrG35pv1si
spark-lend-gnosis,spark-lend,lending,gnosis,prod,spark-lend-gnosis,Bw4RH37UbbGEhHo4FaWwT1dn9QJzm1XSZCyK1cbr6ZKM
truefi-ethereum,truefi,lending,ethereum,prod,truefi-ethereum,39F8fYCvLYmutjqpzEwx3dcEJTtFFVupvBzJqkEzftA7
uwu-lend-ethereum,uwu-lend,lending,ethereum,prod,uwu-lend-ethereum,CZBD7e8VGvNa6WkBHZAaC688bsZ35UvAM1AuDdVng2aE
venus-protocol-bsc,venus,lending,bsc,prod,venus-protocol-bsc,CwswJ7sfENafqgAYU1upn3hQgoEV2CXXRZRJ7XtgJrKG
vesta-finance-arbitrum,vesta-finance,lending,arbitrum,prod,vesta-finance-arbitrum,zGuPrsVqtY5ehJDCmweb9ZnBrae3tSQWRux8Mz1M4Gn
zerolend-blast,zerolend,lending,blast-mainnet,prod,zerolend-blast,6JP9542ArawumBSYczerbWGu6k7uu3hqk6qJnSkrgTM5
zerolend-ethereum,zerolend,lending,ethereum,prod,zerolend-ethereum,4Zf4doH54RDit9KVsfCp3MkjrP3szhJZwvw2z5PHczx9
zerolend-linea,zerolend,lending,linea,prod,zerolend-linea,DLzwo1WFaKy7R7MgQWrnBXr19EbGwPRubu9YmsSmRMfC
zerolend-xlayer,zerolend,lending,xlayer-mainnet,prod,zerolend-xlayer,NRh6ScvPKoieeSH7tRiKyXJ97DR9aYraas8eREPQ8e3
zerolend-zksync-era,zerolend,lending,zksync-era,prod,zerolend-zksync-era,3CHaJvCkTMqXa4PRKNshVecE9JqgNFCdsXNyGLZXFeM2
cryptopunks-ethereum,cryptopunks,nft-marketplace,ethereum,prod,cryptopunks-ethereum,HdVdERFUe8h61vm2fDyycHgxjsde5PbB832NHgJfZNqK
looksrare-ethereum,looksrare,nft-marketplace,ethereum,dev,looksrare-ethereum,FsT2DES8UdhfDkXCtE56h5WCDrrSXrtJiSMgNWvSdyYL
opensea-seaport-ethereum,seaport,nft-marketplace,ethereum,dev,opensea-seaport-ethereum,2GmLsgYGWoFoouZzKjp8biYDkfmeLTkEY3VDQyZqSJHA
opensea-v1-ethereum,opensea-v1,nft-marketplace,ethereum,dev,opensea-v1-ethereum,GSjXo5Vd1EPaMGRJBYe6HoBKv7WSq3miCrRRZJbTCHkT
opensea-v2-ethereum,opensea-v2,nft-marketplace,ethereum,dev,opensea-v2-ethereum,ECtdoov16DUmk5qbhFx4PVVN7vidiNDwzFNsui6FoHEo
x2y2-ethereum,x2y2,nft-marketplace,ethereum,dev,x2y2-ethereum,3cMswgcjkpLmuF99ViQRZfCPRyCsnimqQsR9z6mY5e2i
arrakis-finance-ethereum,arrakis-finance,yield-aggregator,ethereum,prod,arrakis-finance-ethereum,GnroBYmeLLtKuHNyTNS38hzKki5n4CWaHeaMRqZpU4cr
arrakis-finance-optimism,arrakis-finance,yield-aggregator,optimism,prod,arrakis-finance-optimism,6yqMWioX8XNx2aMDYJGnvrVQWNrZfgBzY3ee1RmkXh5Z
arrakis-finance-polygon,arrakis-finance,yield-aggregator,polygon,prod,arrakis-finance-polygon,9YGjubD69wpCHyMMadVJv9eABKKUMWyBGYkZHVFEeWM8
aura-finance-ethereum,aura-finance,yield-aggregator,ethereum,prod,aura-finance-ethereum,EcNHwEGXq3KW1vCbHHj1iwvtf62ae5kxzEQhKtRqPygt
badgerdao-ethereum,badgerdao,yield-aggregator,ethereum,prod,badgerdao-ethereum,BchjnXAXXV5coiCBMQH4A8yCHXEFX9S88JFF6G3mfem4
belt-finance-bsc,belt-finance,yield-aggregator,bsc,prod,belt-finance-bsc,9jLaSWECnXdmwDG6zGMR39PqwhscHoiLGoX1mLtHLqWd
convex-finance-ethereum,convex-finance,yield-aggregator,ethereum,prod,convex-finance-ethereum,7rFZ2x6aLQ7EZsNx8F5yenk4xcqwqR3Dynf9rdixCSME
gamma-strategies-ethereum,gamma-strategies,yield-aggregator,ethereum,prod,gamma-ethereum,ANz3TpZdY2syZGQvGA85ANNG7KiSWdPmv55kP4H4sRPJ
gamma-strategies-polygon,gamma-strategies,yield-aggregator,polygon,prod,gamma-polygon,AyxB5Suv1REgRZPUwbgbbqtpwftvTC46dbiHPuBQuF8y
rari-vaults-ethereum,rari-vaults,yield-aggregator,ethereum,prod,rari-vaults-ethereum,Dy1yVPfbS27HTrqEq3nLGFGi3TMYxPzSfY7Zxxj5ZJhf
ribbon-finance-avalanche,ribbon-finance,yield-aggregator,avalanche,prod,ribbon-finance-avalanche,FxhN13aCD2H1f9vagrVueGjHwguZ7JkfuDZrMvKthdk5
ribbon-finance-ethereum,ribbon-finance,yield-aggregator,ethereum,prod,ribbon-finance-ethereum,Crag42fFb8PrXnbTjHe1UG5KjgzoiUJbqwzJxZ1W8XNJ
vesper-finance-ethereum,vesper-finance,yield-aggregator,ethereum,prod,vesper-ethereum,GQdCg4oR8tFB4tH8svyL1PfgDABKnRXz4GjwFYH68pPG
yearn-v2-arbitrum,yearn-v2,yield-aggregator,arbitrum,prod,yearn-v2-arbitrum,G3JZhmKKHC4mydRzD6kSz5fCWve5WDYYCyTFSJyv3SD5
yearn-v2-ethereum,yearn-v2,yield-aggregator,ethereum,prod,yearn-v2-ethereum,FDLuaz69DbMADuBjJDEcLnTuPnjhZqNbFVrkNiBLGkEg
